"Dragon Word","Word Type","Canon Level",Definition,Notes
Ofolin,adjective,Non-Canon,"Trivial, Frivolous",
Ofun,verb,Semi-Canon,Share,"Derives from ""Ofan,"" ""give."" Shortened from ""Ofuun."""
Ofunlor,verb,Semi-Canon,"Comment, Remark","""Ofun"" with ""lor"", lit. ""share-thought."" Noun or a verb."
Ofunsil,noun,Semi-Canon,"Empathy ","From ""Ofun"" and ""Sil,"" ""shared-soul""."
Ogah,noun,Non-Canon,Berry,"General term for a berry, the small fruit. Directly from Latvian."
Ogeliim,noun,Non-Canon,Orichalcum,
Ogiim,noun,Canon,"Orc, Orsimer",
Ogiimor,noun,Semi-Canon,Orsinium,"From Ogiim and Nor (Orc and Land/Province)."
Ogiimuv,adjective,Semi-Canon,Orcish,"""Ogiim"" with the suffix ""-uv."" Revised from ""Ogiimen."""
Ogiir,noun,Non-Canon,Leg,
Ok,pronoun,Canon,His,
Okaadah,noun,Semi-Canon,Longboat,"Taken from Okaaz (primary) meaning sea and Himdah (quaternary) meaning home."
Okaalah,noun,Non-Canon,Navy,
Okaaris,noun,Modern,Dolphin,"From ""Okaaron"", ""Whale."""
Okaaron,noun,Semi-Canon,Whale,"Variation of the word ""Okaaz"" which means sea."
Okaaz,noun,Canon,Sea,
Okaazin,noun,Semi-Canon,Admiral,"Lit. means ""Sea"", ""master""."
Okaazklav,noun,Semi-Canon,Shrimp,"From ""Okaaz,"" ""sea"" and ""Klav,"" ""ant"", lit. ""sea-ant""."
Okaazklav-Hot,noun,Semi-Canon,Lobster,"From ""Okaazklav,"" ""shrimp"" and ""Hot,"" ""giant"", lit. ""shrimp-giant""."
Okaazlomok,noun,Semi-Canon,Tidepool,"From ""Okaaz,"" ""sea"" and ""Lomok,"" ""puddle"", lit. ""sea-puddle""."
Okazgrunz,noun,Non-Canon,Brig,"Lit ""Sea"", ""Prison""."
Okaziindah,noun,Modern,Torpedo,"From ""Okaaz"" and ""Iindah"", ""sea-attack."""
Okmaar,pronoun,Semi-Canon,Himself,"The reflexive of ""Rok""."
Okravaaz,noun,Semi-Canon,Shark,"Edited from ""Vaak."" Related to ""Okaaz,"" ""sea,"" and ""Vaaz,"" ""tear."""
Okriim,noun,Non-Canon,Eagle,
Okulom,noun,Non-Canon,"Solitude, Loneliness, Isolation",
Okulomiik,noun,Semi-Canon,Isolationist,"""Okulom"" with the suffix ""-iik"", 'Someone who is Isolated'."
Ol,adverb,Canon,As,
Olaak,noun,Non-Canon,Dimension,
Olak,noun,Non-Canon,Library,
Olakaan,noun,Non-Canon,Librarian,
Oldoz,noun,Non-Canon,Horizon,
Olg,verb,Non-Canon,"Shiver, Shudder, Quiver",
Olkolos,conjunction,Semi-Canon,Whereas,"From ""Kolos"", ""Where"" and ""Ol"", ""As"". In contrast or comparison with the fact that."
Olm,noun,Non-Canon,Crow,
Olm-Gefaasiik,noun,Semi-Canon,Scarecrow,"From ""Olm"" and ""Gefaas,"" lit. ""crow-scarer."""
Olmgahrot,noun,Semi-Canon,Magpie,"""Olm"" and ""Gahrot"", lit. ""Stealing Crow""."
Olnaav,noun,Non-Canon,Glen,
Olniiv,noun,Non-Canon,Glade,"Based on ""Glen"", ""Olnaav""."
Olos,adverb,Semi-Canon,"as is, as it is, as it stands, the way things are","Compound of ""Ol"" and ""Los."""
Olqein,noun,Non-Canon,Skeleton,
Olqeinus,adjective,Non-Canon,Skeletal,"From ""Olqein"", ""skeleton,"" with the suffix ""-us."" Edited from ""Olqeinaas."""
Olqeinvul,noun,Semi-Canon,Boneman,"Lit. ""dark"", ""skeleton""."
Olseysevu,noun,Semi-Canon,Sunflower,"From gonsul, ""sunrise"", and osley, ""flower"" meaning ""flower of the dawn""."
Om,noun,Canon,Hair,
Omaar,noun,Non-Canon,Hour,
Omfruk,noun,Modern,Kiwi,"Lit. ""haired fruit."""
Omkalul,noun,Semi-Canon,Bison,"Lit. ""hair-ox."""
Omkirt,noun,Modern,"Hair dryer","From ""Om,"" ""hair"" and ""Kirt,"" ""to dry"", lit. ""hair-dryer""."
Omnu,adjective,Semi-Canon,Bald,"Literally, ""hairless""."
Omshuniir,noun,Modern,Shampoo,"Lit. ""hair soap."""
Omus,adjective,Semi-Canon,Hairy,"""Om"" with the suffix ""-us."""
Omveyaar,noun,Semi-Canon,Barber,"From ""Om,"" ""hair"" and ""Veyaar,"" ""cutter"", lit. ""hair-cutter""."
Omvol,noun,Semi-Canon,Rodent,"Lit. ""haired horror."""
Ond,interjection,Canon,Lo,
Onik,adjective,Canon,Wise,
Onikaan,noun,Canon,Wisdom,
Onikiv,noun,Canon,"Enlightenment / Enlighten","Expanded definition to include ""enlighten."""
Onikriiv,noun,Semi-Canon,"Robes, enchanted robes or garb, typically of a priest","Lit. ""wise-cloth."""
Onlaas,noun,Non-Canon,"Afterlife
",
Onliin,noun,Semi-Canon,"Mate, Partner, Boyfriend, Girlfriend, Companion, any romantic partner","From ""Smoliin"", ""passion""."
Onol,noun,Non-Canon,Turkey,
Ont,adverb,Canon,Once,
Ontzos,adverb,Semi-Canon,Again,"Lit. ""once-more."" Edited from ""Einzuk"" and ""Ontzuk."""
Onvok,verb,Non-Canon,Admit,
Oo,interjection,Non-Canon,Oh,
Or-,prefix,Non-Canon,Re-,"""Ordreh"" = ""redo"", ""Orwahl"" = ""rebuild"", etc."
Oraak,noun,Non-Canon,Stick,
Oraakan,noun,Non-Canon,Fagot,"From ""Oraak"", ""stick""."
Oraan,adverb,Non-Canon,Apart,
Oraas,noun,Non-Canon,Dearth,
Orah,verb,Non-Canon,Remind,"A modification of ""Hah"" with the prefix ""Or-""."
Orbalaan,verb,Semi-Canon,"Redeem, Redemption","""Balaan"" with the prefix ""Or-"", ""worthy again"". Edited from ""Orbahlaan."""
Orbex,verb,Semi-Canon,Reopen,"""Bex"" with the prefix ""Or"", to open again."
Orbiis,verb,Non-Canon,Repay,"Related to ""biis"" with the prefix ""Or-""."
Orbrah,verb,Non-Canon,"Reuse, Repurpose","From ""Brah"" with the prefix ""Or-""."
Ordevaak,verb,Non-Canon,"Rearrange, Reorder","""Devaak"" with prefix ""Or-""."
Orfaan,verb,Non-Canon,Rename,"""Faan"" with the prefix ""Or-."" Edited from ""Orfor."""
Orfrolok,verb,Non-Canon,Review,"""Frolok"" with the prefix ""Or-"". Can be used as both a noun and verb."
Orgein,verb,Semi-Canon,Reunite,"""Gein"" with the prefix ""Or-."""
Orgevoth,verb,Semi-Canon,Reconnect,"From ""Gevoth"", ""Connect"" with prefix ""Or-""."
Orgon,verb,Non-Canon,"Restart, begin again","""Gon"" with prefix ""or-""."
Orhilk,verb,Non-Canon,"Remix, Recombine","From ""Hilk"" with prefix ""Or-""."
Orin,adverb,Canon,"Even, Fully, Quite",
Oris,verb,Semi-Canon,"Replace, Substitute, Ersatz","""ris"" (place/put) with prefix ""or-""(re-)."
Orisnizah,noun,Semi-Canon,Impostor,"From ""Oris,"" ""substitute"" and ""Nizah,"" ""false"", lit. ""substitute-false""."
Orjahrii,verb,Non-Canon,Refill,"""Jahrii"" with prefix ""or-"", can be used as a noun."
Orkiin,adjective,Semi-Canon,"Reborn, Remade","""Kiin"" with the prefix ""Or-""."
Orkiindah,adjective,Semi-Canon,Rebirth,"""Kiindah"" with the prefix ""Or-""."
Orklad,verb,Non-Canon,Reload,"From ""Klad"", ""load"" with prefix ""Or-""."
Orkomiin,verb,Non-Canon,Redesign,"""Komiin"" with the prefix ""Or-""
To design again"
Orkopiraan,verb,Non-Canon,Redeclare,"""Kopiraan"" with prefix ""Or-"", to redeclare."
Orkopraanzii,noun,Semi-Canon,Reincarnation,"""Kopraanzii"" with the prefix ""Or-""."
Orlaav,verb,Non-Canon,"Consent, Permit","Derived from Old Norse ""orlof""."
Orlaavend,noun,Non-Canon,"Consent, Permission","Orlaav + end."
Orlahney,verb,Semi-Canon,Relive,"""Lahney"" with the prefix ""Or-,"" to live again."
Orlavaan,verb,Non-Canon,"past participle of ""Orlaav""",
Orley,verb,Non-Canon,"Cover, to place on or over","See ""Dunaak"" for the sense of ""engulf."""
Ormiinahsul,verb,Non-Canon,"Reconsider, Rethink","""Miinahsul"" with prefix ""or-""."
Orofaal,verb,Semi-Canon,"Regain, Recover","""Ofaal"" with the prefix ""Or-."" Edited from ""Orim."""
Oron,noun,Non-Canon,"Canon, Creed, Dogma, Tenet",
Orosul,verb,Non-Canon,Resew,"""Osul"" with prefix ""Or-""."
Orot,verb,Semi-Canon,"Reword, Rephrase","""Rot"" with prefix ""Or-""."
Orpel,verb,Semi-Canon,Rewrite,"""Pel"" with the prefix ""or-."""
Orpeldez,verb,Semi-Canon,"to rewrite fate, to change the future","Lit. ""rewrite-fate."""
Orpeylaan,verb,Non-Canon,Reapply,"From ""Peylaan"" with prefix ""Or-""."
Orpoltor,verb,Non-Canon,Recapture,"""Poltor"" with prefix ""Or-""."
Orsaag,verb,Non-Canon,Resay/Restate,"""Saag"" with prefix ""Or-"", to resay/restate."
Ortahlon,verb,Non-Canon,"Realign, Reorder","""Tahlon"" with the prefix, ""Or-"" to reorder."
Ortolaak,verb,Non-Canon,"Rewind, Rewound","""Tolaak"" with prefix ""Or-""."
Orvegein,verb,Semi-Canon,Reunify,"From ""Gegein"", ""unify"" with prefix ""Or-""."
Orvorstaal,verb,Non-Canon,Reorganize,"""Vorstaal"" with the prefix ""Or-""."
Orwahl,verb,Semi-Canon,"Rebuild, Recreate, Remake","""Wahl"" with the prefix ""Or-""."
Oryol,verb,Semi-Canon,"Reignite, Relight, Rekindle, Respark","""Yol"" with prefix ""or-"", lit. ""re-fire."""
Oryos,verb,Non-Canon,Reheat,"From ""Yos"" with prefix ""Or-"". Can also be used as a noun."
Osk,adjective,Non-Canon,Deft,
Oslemun,noun,Semi-Canon,Florist,"From ""Osley,"" ""flower,"" and ""Mun,"" ""man."""
Osley,noun,Non-Canon,Flower,
Osleyt,noun,Non-Canon,Seam,
Osos,pronoun,Canon,Some,
Osul,verb,Non-Canon,Sew,
Osuliik,noun,Non-Canon,"Seamstress, Tailor","""Osul"" (Sew) with the suffix ""-iik"" - ""one who sews""."
Osvanir,noun,Non-Canon,Jade,
Oth,noun,Canon,Orphan,
Ov,verb,Canon,Trust,
Ovkod,adjective,Semi-Canon,Trustworthy,"Compound of ""Ov"" and ""Kod,"" ""trust-wielding."""
Ovriil,noun,Non-Canon,"Wreath ",
Ozak,noun,Non-Canon,Goat,
Ozakvum,noun,Semi-Canon,Goatee,"From ""Ozak"" and ""Vum,"" ""goat's beard."""
Ozinkrel,noun,Non-Canon,Continent,
Ozinkreluv,adjective,Non-Canon,Continental,"""Ozinkrel"" with suffix ""-uv""."
Ozinvey,noun,Canon,Ivory,
Ozinveyhaal,noun,Modern,"Piano, Keyboard","""Ozinvey"" and ""Haal"", meaning ""ivory hand"" in reference to older pianos having ivory keys."
Ozinveyhaalin,noun,Modern,Pianist,"Lit. ""piano-master."""
Ozur,adjective,Non-Canon,"Smooth, Glossy, Sleek",
Ozuriiv,noun,Non-Canon,Gloss,"From ""Ozur, ""glossy""."
Ozurom,noun,Non-Canon,"Smoothness, Glossiness, Sleekness","""Ozur"" with the suffix ""-om."""
Paag,adjective,Non-Canon,Fat,
Paagliik,noun,Non-Canon,Cream,"Literally ""fat-milk""."
Paagluf,verb,Semi-Canon,"Shamble, Shuffle","Derived from ""Paagol"" (walk) and the Swedish word ""Lufsa"" (shamble). A way of walking, not as in shuffling of cards."
Paagol,verb,Non-Canon,Walk,
Paagoliis,noun,Non-Canon,Stride,"From ""Paagol,"" ""to walk."""
Paagus,adjective,Non-Canon,Fatty,"From ""Paag"", ""fat"" with suffix ""-us""."
Paak,noun,Canon,Shame,
Paakmey,verb,Semi-Canon,"Embarrass, Mortify","Contraction of ""Mey"" and ""Paak"". "
Paaksov,adjective,Semi-Canon,"Profligate/Profligacy, wasteful or unwise use of gold, resources, or effort","Lit. ""shame spend."""
Paal,noun,Canon,"Foe, Enemy",
Paalikot,noun,Semi-Canon,Adversary,"From ""Paal"", ""foe""."
Paalseyol,noun,Modern,Firefighter,"Lit. means ""Enemy of Fire""."
Paalus,adjective,Semi-Canon,"Enemy, Hostile, Aggressive, Adversarial","Lit. ""enemy-like."" ""An enemy soldier."" Edited from ""Akir."""
Paan,noun,Non-Canon,Region,
Paar,noun,Canon,Ambition,
Paaz,adjective,Canon,Fair,"Means ""fair"" as in ""just,"" and ""fair"" as in ""pleasant"" or ""beautiful."""
Paazigran,noun,Non-Canon,Influence,
Paazom,adjective,Semi-Canon,Fairness,"""Paaz"" with the suffix ""-om."""
Paazrahgol,adjective,Semi-Canon,Indignant,"Literally 'fair rage.'"
Padiiz,noun,Non-Canon,Zenith,
Padir,noun,Non-Canon,Needle,
Pah,adjective,Canon,"All, Everything, Everyone, Everybody","Expanded definition to include ""everyone""."
Pahdul,noun,Non-Canon,"Infant, Baby","Edited from ""Padul""."
Pahel,noun,Semi-Canon,Summary,"A combination of ""pah"" and ""pel"", ""all-write""."
Pahelrot,noun,Semi-Canon,Document,"From ""Pahel"" and ""Rot, ""summary word""."
Pahfod,conjunction,Semi-Canon,Whenever,"Lit. ""all-when."""
Pahfos,adverb,Semi-Canon,Whatever,"A compound of ""Pah"" and ""Fos"", ""all-what""."
Pahgein,noun,Semi-Canon,"Unity, Oneness, Solidarity","A compound of ""Pah"" (""All"") and ""Gein"" (""One"")."
Pahkolos,adverb,Semi-Canon,"Wherever, Anywhere, Anyplace","Lit. ""all-where."""
Pahkriivah,noun,Semi-Canon,"Genocide, Extermination","From ""Pah"" and ""Kriivah"", ""all-murder""."
Pahlahvraan,noun,Semi-Canon,Assembly,"""All-gathering""."
Pahleinuv,adjective,Semi-Canon,"Universal, Catholic, Global, Cosmic","From ""Pah"" and ""Leinuv"", ""pertaining to all the world"". Edited from ""Pahleiniil."""
Pahliinvas,adjective,Modern,Pansexual,"Literally ""all sexual"""
Pahlok,noun,Canon,Arrogance,
Pahlokaal,adjective,Semi-Canon,Arrogant,"""Pahlok"" with the suffix ""-aal"", ""with or having arrogance""."
Pahmindok,adjective,Semi-Canon,"Omniscient, Omniscience, all knowing","A compound of ""Pah"", ""all"", and ""Mindok"", ""to know""."
Pahnim,adjective,Semi-Canon,"Overall, General","From ""Pah"", ""all""."
Pahpiraak,noun,Modern,"Communism, Communist","Lit. ""possession by all."""
Pahrak,verb,Non-Canon,"Cooperate, Cooperation, to work together",
Pahrakal,adjective,Non-Canon,Cooperative,
Pahrelin,noun,Semi-Canon,Dictator,"Lit. ""all-dominate-master."""
Pahrelinaar,noun,Semi-Canon,Dictatorship,"From ""Pahrelin,"" and ""Junaar,"" ""kingdom."""
Pahrk,noun,Non-Canon,Foot,"Edited from ""Parq""."
Pahrk-Niiv,noun,Modern,"Football, Soccer","From ""Pahrk"" and ""Niiv,"" ""foot-ball."""
Pahrkfar,noun,Non-Canon,Footprint,"Compound of ""Pahrk"" and ""Far,"" ""foot-track."""
Pahrkmah,noun,Semi-Canon,Footstep,"Lit. ""foot-fall""."
Pahrkriiv,noun,Non-Canon,"Sock, foot-wrap, or light slipper","Lit. ""foot-cloth."""
Pahsaan,verb,Semi-Canon,Eliminate,"A combination of ""Pah"" (All) and ""Saan"" (Lose)."
Pahsu,noun,Semi-Canon,"Confidence, Assurance, Surety","From ""Pahlok,"" ""arrogance."" Edited from ""Edah."""
Pahsuleyk,noun,Semi-Canon,"Omnipotence, Omnipotent","Lit. ""all-power"" or ""all-powerful."""
Pahsunaal,adjective,Semi-Canon,"Confident, Sure","""Pahsu"" with the suffix ""-aal"", ""with or having confidence"". Edited from ""Edrahaal."""
Pahvaak,verb,Semi-Canon,"Announce, to speak to many","From ""Pah"" and ""Tinvaak""."
Pahvoth,adverb,Semi-Canon,"Together, Altogether","A compound formed from ""Pah"", ""all"", and ""Voth"", ""with"".  Literally, ""allwith""."
Pahvothpiraak,noun,Modern,"Socialism, Socialist","Lit. ""together-possess."""
Pahwahliik,noun,Semi-Canon,All-Maker,"A compound of ""Pah"" and ""Vahl"" with teh suffix ""-iik"", it literally means ""All-Creator"". A mysterious deity revered as the wellspring of creation by Ancient Atmorans and modern Skaal. "
Pahwo,adverb,Semi-Canon,"Whoever, Whomever","Lit. ""all-who."""
Pahyaav,noun,Semi-Canon,Diameter,"From ""Pah"" and ""Yaav"". Literally, ""all-across""."
Pahzul,adjective,Semi-Canon,"Unanimous ","Lit. means ""all-voiced."""
Palaar,noun,Non-Canon,Platform,"Taken from the Icelandic word for ""platform"", ""pallur."""
Panaan,noun,Non-Canon,Pea,
Panor,verb,Non-Canon,Parry,
Parok,verb,Non-Canon,Scorch,
Pas,verb,Non-Canon,Flap,
Peh,adverb,Non-Canon,Quite,
Peil,verb,Non-Canon,"Swirl, Churn",
Pel,verb,Canon,Write,
Pelaak,verb,Semi-Canon,"Describe, Define, Detail, Description, Definition","From ""Pel,"" ""to write."""
Peldey,noun,Modern,Notebook,"From ""Pel"" and ""Dey,"" ""writing-book."" Edited from ""Pel-Deykel."""
Pelein,noun,Modern,Secretary,"Combination of ""Pel"" and ""Mein."""
Pelgah,noun,Semi-Canon,"Diary, Journal","From ""Pel,"" ""to write."""
Peliik,noun,Semi-Canon,"Scribe, Writer","""Pel"" with the suffix ""-iik"", ""someone who writes""."
Peliik-Haal,noun,Semi-Canon,Manuscript,"Lit. ""scribe's hand."""
Pelniir,noun,Semi-Canon,"Pen, Pencil, Quill, any writing utensil","""Pel"" with the suffix ""-niir"", ""something one writes with""."
Pelniir-Klov,noun,Modern,"Nib, tip of pen","From ""Pelniir,"" ""pen"" and ""Klov,"" ""head"", lit. ""pen-head""."
Pelnoot,noun,Semi-Canon,Handwriting,"A compound of ""Pel"" and ""Noot"", it literally means ""writing skill"""
Pelorun,noun,Semi-Canon,"Scriptorium, a scribes 'office'.","""Pel"" with the suffix ""-orun"", ""a place of writing""."
Peluft,noun,Semi-Canon,Quill,"A compound of ""Pel"" (""Write"") and ""Uft"" (""Feather"")"
Peluth,noun,Semi-Canon,Writ,"Lit. means ""Written"", ""Order""."
Pelvahrot,verb,Semi-Canon,Subscribe,"Lit. ""written vow."""
Pelzahd,verb,Semi-Canon,"Punctuate, Punctuation","Lit. means ""to write a point,"" or ""written point."""
Pentaar,verb,Non-Canon,"Punish, Punishment","Both the noun ""punishment"" and the verb ""to punish""."
Pentaaz,noun,Non-Canon,Sanction,"Related to ""Pentaaz"", ""punish""."
Peylaan,verb,Semi-Canon,Apply,
Peyt,noun,Canon,Rose,
Piilo,adjective,Non-Canon,Potent,
Piin,verb,Non-Canon,Drink,
Piinaar,noun,Non-Canon,Drinker,"From ""Piin"", ""to drink""."
Piinzoliik,adjective,Non-Canon,"Milk Drinker",
Piir,verb,Non-Canon,Chop,
Piit,adjective,Non-Canon,Top,
Piiv,noun,Non-Canon,Pit,
Pik,noun,Non-Canon,Trace,
Pikoon,noun,Non-Canon,"Genitalia, Genitals",
Pindaar,noun,Canon,"Plain, Plains, Field","Refers to a grassland or field, rather than an adjective describing something that is plain or simple."
Piniid,noun,Non-Canon,Drunkard,"From ""Piin,"" ""to drink."""
Piniir,noun,Non-Canon,"Vessel, Glass, Jug, Horn, Mug, anything that one drinks from","""Piin"" with the suffix ""-niir"", ""something one drinks with""."
Piraad,noun,Semi-Canon,Claimant,"From ""Piraan,"" ""to claim."""
Piraak,verb,Canon,Possess,
Piraakt,noun,Semi-Canon,"Possession, Property","From ""Piraak,"" ""possess."" Edited from ""Piraant."""
Piraaktal,verb,Semi-Canon,"Vandalize, Vandalism","""Piraakt"" with ""Al"". Lit. ""Property destroy""."
Piraan,verb,Semi-Canon,Claim,"From ""Piraak,"" ""to possess."" Edited from ""Siir."""
Piriid,noun,Non-Canon,Chopper,"""Piir"" with suffix ""-d""."
Plozkaro,noun,Non-Canon,Tentacle,"Inspired by the Greek for ""tentacle,"" ""πλοκάμι."""
Pluz,verb,Non-Canon,Row,
Pluzvaad,noun,Non-Canon,Rowboat,"A compound of ""Pluz"" and ""Vaad""."
Pogaad,adjective,Semi-Canon,"Dense, Compress, Condense","Derived from ""Pogaas."" As an adjective, ""dense."" As a verb, ""to compress, make dense."""
Pogaan,adjective,Canon,Many,
Pogaan-Luft,adjective,Semi-Canon,"Subjective, Debatable, Indefinite","Edited and expanded from ""Diskutirok"". A phrase that means ""many-faced""."
Pogaankrii,verb,Semi-Canon,Massacre,"From ""Pogaan"" and ""Krii"", ""many-killing""."
Pogaanogiir,noun,Semi-Canon,"Centipede, Millipede","Based on words: Pogaan(Many) and Ogiir(Leg)."
Pogaanraal,adjective,Semi-Canon,Polytheistic,"Derived from ""Pogaanrah"" with the suffix ""-aal"".  Means ""with or having many gods""."
Pogaanrah,noun,Semi-Canon,Polytheism,"A compound of ""Pogaan"" and ""Rah"", it literally means ""Many gods""."
Pogaas,noun,Canon,Much,
Pogaat,adjective,Semi-Canon,Several,"From ""Pogaan"", ""many""."
Pogaav,verb,Semi-Canon,"Multiply, Multiplication","From ""Pogaan,"" ""many."""
Pogahko,adjective,Semi-Canon,"Profuse, much of","From ""Pogaas"", ""much""."
Pogein,verb,Non-Canon,"Converge, Convergence","From ""Pogaan"" and ""Gein,"" ""many-one."""
Poguk,noun,Semi-Canon,"Option, Choice","Derived from ""Pogaan"", Many, and ""Truk"", Thing."
Pogukus,adjective,Non-Canon,"Choosy, Fastidious, Particular, Fussy, Persnickety","From ""Poguk"" with the suffix ""-us."""
Poltor,verb,Non-Canon,Capture,
Poltoraat,noun,Non-Canon,Captive,"""Poltor"" with suffix ""-aat"", someone who is captured."
Poltoriik,noun,Non-Canon,Captor,"""Poltor"" with suffix ""-iik""."
Pook,verb,Canon,Stink,
Pookalul,noun,Semi-Canon,"Muskox, Musk Ox, Musk-Ox","Lit. ""stink-ox."""
Pooksum,noun,Semi-Canon,"Burp, Belch","From ""Pook"" and ""Sum,"" ""stink-breath."" Noun or verb."
Pookus,adjective,Semi-Canon,Stinky,"""Pook"" with the suffix ""-us."""
Por,noun,Non-Canon,"Island, Isle","Derived from ""Nor"", ""land""."
Portav,noun,Non-Canon,Tomato,
Portavbrot,noun,Modern,Pizza,"From ""Portav"" and ""Brot,"" ""tomato bread."""
Posiil,adjective,Semi-Canon,"Abound, Bountiful, Copious","From ""Pogaan"", ""many""."
Poskur,noun,Non-Canon,Spruce,
Povaan,adjective,Semi-Canon,"Abundant, Bountiful, Plentiful, Fertile, Fruitful","Edited from ""Zonorgraz""."
Povaar,noun,Semi-Canon,Excess,"From ""Pogaan,"" ""many."""
Povaas,noun,Semi-Canon,"Abundance, Bounty, Plenty, Fertility","Edited from ""Norgraz"". Relates to ""Pogaan"", ""many""."
Povortii,adjective,Semi-Canon,Excessive,"From ""Pogaas,"" ""much,"" and ""Vortii,"" ""beyond."""
Pozaar,noun,Non-Canon,Liter,
Pozik,noun,Non-Canon,Pound,"The measurement of weight, rather than the verb ""to pound"" or the money."
Praag,verb,Non-Canon,Need,
Praagek,adjective,Non-Canon,"Necessary, needed","From ""Praag"", ""need""."
Praak,verb,Non-Canon,"Slither, Slide","Expanded from ""Prak""."
Praak-Geltrein,noun,Modern,Trombone,"From “Praak,"" ""slide”, and “Geltrein,"" “trumpet”, lit. “slide-trumpet”. "
Praak-Ronaaz,noun,Modern,"Cursor, Mouse","From ""Praak"" and ""Ronaaz,"" lit. ""slithering arrow."" Refers to the cursor or mouse of a computer."
Praal,verb,Canon,"Sit, Sat, Seat","Expanded definition to include ""seat."" The verb ""to sit or seat,"" and the noun ""seat."""
Praal-Grahstaad,noun,Semi-Canon,"Amphitheater ","Lit. ""seated arena."""
Praalum,verb,Semi-Canon,Slouch,"Lit. means ""sit"", ""low""."
Praam,verb,Non-Canon,Print,"Edited from ""Prahm."""
Praan,verb,Canon,Rest,
Praanlovaas,noun,Semi-Canon,Requiem,"A compound of ""Praan"", ""rest"", and ""Lovaas"", ""song""."
Praantaas,adjective,Semi-Canon,Dormant,"""Praan"" with suffix ""-taas,"" ""resting."""
Praanvuhah,noun,Modern,Insomnia,"Lit. ""restless mind."""
Praav,noun,Semi-Canon,"Lair, Roost, Den","Edited from ""Grim"" to relate to canon ""Praan""."
Praaz,noun,Semi-Canon,Respite,"From ""Praan,"" ""rest."""
Prakem,noun,Non-Canon,Snake,
